	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU12745	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12746	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12747	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12748	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12749	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12750	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12751	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12752	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12753	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12754	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12755	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12756	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12757	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12758	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12759	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12760	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12761	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12762	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12763	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12764	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12765	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12766	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12767	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12768	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12769	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12770	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12771	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12772	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12773	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU12774	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12775	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12776	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12777	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12778	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12779	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12780	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12781	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12782	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12783	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12784	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12785	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU12786	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12787	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12788	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12789	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12790	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
OTU12791	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12792	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12793	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12794	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12795	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12796	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12797	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12798	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12799	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12800	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12801	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12802	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12803	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12804	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12805	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12806	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12807	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12808	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12809	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12810	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12811	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
OTU12812	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12813	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12814	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12815	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU12816	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12817	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12818	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12819	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12820	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12821	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12822	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2
OTU12823	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12824	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12825	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12826	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12827	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12828	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12829	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12830	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
OTU12831	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12832	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
OTU12833	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12834	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12835	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12836	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12837	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12838	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12839	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12840	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12841	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12842	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12843	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12844	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12845	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12846	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU12847	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12848	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12849	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU12850	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12851	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12852	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12853	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12854	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12855	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12856	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12857	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU12858	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12859	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12860	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU12861	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12862	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12863	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
OTU12864	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12865	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12866	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12867	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12868	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12869	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12870	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
OTU12871	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12872	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12873	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12874	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12875	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12876	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12877	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12878	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12879	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12880	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12881	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12882	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12883	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0
OTU12884	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12885	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	25
OTU12886	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12887	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12888	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12889	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12890	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12891	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12892	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12893	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12894	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12895	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12896	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12897	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12898	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12899	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12900	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12901	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12902	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
OTU12903	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12904	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12905	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12906	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12907	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12908	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12909	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12910	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
OTU12911	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12912	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12913	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12914	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
OTU12915	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
OTU12916	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
OTU12917	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12918	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
OTU12919	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12920	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12921	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12922	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12923	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU12924	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12925	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12926	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12927	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12928	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12929	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12930	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU12931	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12932	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12933	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12934	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12935	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU12936	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12937	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12938	0	0	0	0	0	0	0	0	0	0	1	0	4	4	0	0
OTU12939	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12940	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12941	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU12942	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12943	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12944	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12945	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU12946	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12947	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12948	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12949	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12950	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12951	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12952	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12953	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12954	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
OTU12955	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12956	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12957	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12958	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12959	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12960	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12961	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12962	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12963	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12964	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12965	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12966	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12967	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12968	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12969	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12970	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU12971	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12972	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12973	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12974	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12975	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12976	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12977	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12978	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12979	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12980	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU12981	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12982	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU12983	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12984	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU12985	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12986	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12987	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12988	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12989	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12990	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12991	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12992	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12993	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12994	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12995	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU12996	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2
OTU12997	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
OTU12998	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU12999	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13001	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13002	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13003	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13004	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13005	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13006	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13007	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13008	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13009	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13010	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13011	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13012	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13013	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13014	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU13015	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13016	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13017	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU13018	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13019	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
OTU13020	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU13021	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13022	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13023	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13024	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13025	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13026	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13027	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13028	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13029	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13030	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13031	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13032	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13033	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13034	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13035	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0
OTU13036	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13037	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13038	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
OTU13039	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13040	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13041	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU13042	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13043	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU13044	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13045	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13046	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13047	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13048	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU13049	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13050	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
OTU13051	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13052	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13053	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13054	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13055	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13056	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13057	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13058	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU13059	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU13060	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13061	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13062	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13063	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13064	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU13065	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU13066	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13067	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13068	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13069	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13070	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13071	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13072	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13073	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13074	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13075	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13076	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU13077	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU13078	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13079	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13080	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13081	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU13082	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13083	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13084	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13085	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU13086	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU13087	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13088	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13089	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13090	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13091	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13092	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU13093	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13094	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13095	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13096	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13097	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13098	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13099	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13100	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU13101	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13102	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13103	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13104	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13105	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU13106	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13107	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13108	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU13109	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU13110	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
