	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU00206	22	25	56	31	0	0	1	24	39	17	52	0	0	0	1	0
OTU00207	139	20	36	40	47	74	355	37	71	10	73	43	455	83	42	62
OTU00208	429	440	348	242	1117	238	448	277	521	222	656	120	590	389	186	283
OTU00209	54	374	5	0	0	0	0	53	0	0	538	0	0	0	0	0
OTU00210	57	31	115	45	0	0	0	35	98	49	132	0	0	0	0	0
OTU00211	50	21	67	11	192	20	10	3	0	0	79	0	17	68	2	10
OTU00212	112	17	35	22	20	44	102	12	42	3	25	9	228	19	13	9
OTU00213	6	1	7	4	2	1	1	0	9	5	7	1	1	2	0	1
OTU00214	152	116	0	142	194	314	156	128	176	63	338	137	334	188	0	168
OTU00215	285	255	0	365	532	719	375	389	557	158	838	285	743	427	0	440
OTU00216	534	667	626	733	1038	383	822	626	863	680	986	724	805	812	677	943
OTU00217	1	1	0	0	9	0	0	0	0	0	0	0	0	2	0	0
OTU00218	48	16	40	7	87	5	14	6	0	1	31	1	74	44	0	4
OTU00219	43	95	43	22	0	0	1	23	107	10	64	0	3	0	0	0
OTU00220	103	137	184	180	198	106	188	134	180	197	193	138	167	168	120	222
OTU00221	53	7	26	8	89	11	5	4	2	1	54	0	23	65	7	8
OTU00222	46	21	45	36	30	26	16	28	35	34	73	15	17	20	11	29
OTU00223	277	366	198	309	516	233	313	258	489	270	451	214	484	323	271	449
OTU00224	9	4	11	9	35	2	0	3	0	0	9	0	2	11	0	0
OTU00225	13	2	12	10	0	0	0	6	11	3	17	0	0	0	0	0
OTU00226	21	10	17	4	87	10	1	3	10	1	20	0	8	16	2	2
OTU00227	28	22	95	31	0	0	0	31	84	33	104	0	0	0	0	0
OTU00228	35	14	68	42	0	0	0	30	52	22	66	0	0	0	0	0
OTU00229	1145	838	1488	1091	938	525	710	813	1577	975	2045	507	720	760	457	791
OTU00230	6	5	5	0	10	1	0	0	0	1	5	0	1	2	0	3
OTU00231	11	4	18	5	0	0	0	8	16	2	18	0	0	0	0	0
OTU00232	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU00233	27	21	35	41	35	19	40	16	37	22	42	16	38	39	28	31
OTU00234	151	204	116	180	262	116	204	147	316	166	240	106	239	196	156	248
OTU00235	169	117	234	191	150	119	120	112	203	80	258	81	107	104	75	126
OTU00236	186	278	201	208	390	139	266	188	395	194	304	134	335	246	199	369
OTU00237	13	5	27	21	2	0	0	6	9	9	27	0	0	1	0	0
OTU00238	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU00239	28	32	20	16	39	20	31	17	49	21	37	15	31	27	24	36
OTU00240	73	11	51	12	163	13	4	0	0	0	35	1	18	72	1	13
OTU00241	219	3	4	15	0	0	0	2	45	0	2	0	0	0	1	0
OTU00242	1033	445	434	522	872	961	1964	589	878	265	883	439	3291	613	476	513
OTU00243	107	121	101	124	197	66	134	129	207	119	187	72	179	147	101	169
OTU00244	13	7	14	9	0	0	0	15	16	15	27	0	0	0	0	0
OTU00245	71	24	39	17	1	5	7	18	54	8	48	0	23	2	3	1
OTU00246	103	143	83	104	199	67	131	93	220	114	158	95	189	151	118	200
OTU00247	302	434	268	309	704	259	467	330	604	349	640	291	591	460	334	550
OTU00248	72	94	76	89	128	53	106	75	134	87	132	54	134	88	91	120
OTU00249	41	9	3	2	0	2	1	0	16	1	12	1	3	1	1	1
OTU00250	2	0	2	0	0	0	0	0	0	0	1	0	4	0	0	0
OTU00251	38	22	81	37	0	0	0	28	86	47	114	0	0	0	0	0
OTU00252	129	57	53	53	111	95	217	93	149	59	97	69	411	98	50	81
OTU00253	192	257	197	237	369	159	275	166	409	242	365	152	335	254	227	351
OTU00254	23	16	21	24	27	15	33	22	29	24	40	13	38	33	17	36
OTU00255	52	56	54	48	106	29	70	56	102	39	80	40	83	72	53	74
OTU00256	19	5	21	8	64	10	0	2	0	1	21	0	3	34	1	1
OTU00257	258	64	40	38	0	0	0	16	98	11	100	0	0	0	0	0
OTU00258	332	443	306	317	548	216	366	290	656	316	522	238	540	389	326	548
OTU00259	140	159	0	174	249	409	214	219	323	93	506	162	429	194	0	220
OTU00260	8	3	2	3	6	6	20	3	1	0	10	1	10	2	4	1
OTU00261	13	4	16	5	58	7	0	3	0	0	23	0	7	13	1	6
OTU00262	102	30	2	0	2	1	0	3	3	0	22	0	0	0	0	0
OTU00263	2	1	2	2	8	0	0	2	2	1	3	0	3	3	0	0
OTU00264	214	64	36	30	5	2	21	14	90	15	107	0	28	9	3	2
OTU00265	26	15	27	12	109	6	5	3	0	0	36	0	16	29	1	5
OTU00266	37	16	5	1	14	1	1	2	2	0	25	0	3	8	0	2
OTU00267	75	72	43	31	3	4	9	25	84	4	74	0	8	2	2	0
OTU00268	147	49	83	15	286	11	31	21	52	11	118	7	54	117	15	15
OTU00269	27	27	31	31	36	14	35	29	51	23	53	27	48	36	30	40
OTU00270	125	37	212	100	2	0	1	71	189	95	223	1	2	3	1	3
OTU00271	2	6	9	8	16	5	9	9	16	8	10	7	13	6	12	18
OTU00272	21	22	15	26	35	11	27	16	22	10	20	12	20	19	12	26
OTU00273	168	206	152	188	287	117	214	140	324	188	285	109	277	191	168	309
OTU00274	223	305	239	276	458	218	301	240	462	286	422	163	401	298	265	431
OTU00275	600	771	602	624	1382	463	818	587	1268	580	911	425	1086	731	602	1006
OTU00276	5	0	1	0	17	3	1	1	1	1	4	0	2	7	1	0
OTU00277	37	19	64	25	0	0	0	19	66	20	81	0	0	0	0	0
OTU00278	38	34	40	48	90	31	43	8	50	18	64	35	32	95	19	40
OTU00279	21	6	14	8	2	0	3	5	23	13	27	0	0	1	0	0
OTU00280	11	2	13	9	0	0	0	1	5	2	12	0	0	0	0	0
OTU00281	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU00282	81	28	94	37	0	0	0	27	71	42	126	0	0	0	0	0
OTU00283	95	28	66	3	109	9	23	12	7	1	48	3	73	81	5	5
OTU00284	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00285	132	57	248	90	0	0	0	97	169	88	282	0	1	0	0	0
OTU00286	81	83	35	14	122	8	12	9	72	13	83	25	40	190	14	97
OTU00287	16	7	27	10	0	0	0	6	15	10	24	0	0	0	0	0
OTU00288	94	149	82	111	171	90	153	118	184	112	182	92	173	122	109	183
OTU00289	87	102	67	84	131	71	104	74	171	83	112	51	108	110	97	158
OTU00290	48	41	24	2	79	14	12	9	6	1	82	0	21	18	2	5
OTU00291	242	91	366	222	0	0	0	129	355	159	457	0	0	0	0	0
OTU00292	68	38	51	34	66	86	205	46	40	21	52	39	242	61	33	35
OTU00293	137	170	130	146	257	105	158	144	262	126	201	91	218	145	127	219
OTU00294	13	6	12	12	19	8	10	12	14	4	13	6	16	14	5	18
OTU00295	490	631	457	542	1074	358	611	512	953	519	783	363	833	570	548	807
OTU00296	4	0	2	1	8	0	0	0	0	0	0	0	1	6	0	1
OTU00297	48	0	1	4	0	0	0	0	13	0	0	0	0	0	0	0
OTU00298	102	116	93	104	143	71	122	94	181	127	142	75	195	132	99	149
OTU00299	67	30	82	20	268	38	6	13	3	3	102	0	39	88	7	13
OTU00300	4	2	2	0	1	1	4	0	3	1	2	0	1	1	0	0
OTU00301	32	53	91	13	135	40	41	19	1	0	72	0	67	31	8	44
OTU00302	42	53	39	44	84	30	69	42	69	46	78	24	92	47	35	69
OTU00303	346	178	75	13	201	15	10	25	16	21	101	2	43	68	5	11
OTU00304	18	7	35	21	1	1	0	8	30	21	40	0	0	0	1	0
OTU00305	25	12	19	2	23	2	9	6	2	2	29	1	20	12	6	4
OTU00306	10	2	3	0	14	6	0	1	0	1	7	0	1	6	0	1
OTU00307	2	2	2	2	1	0	1	3	4	0	1	0	1	0	0	0
OTU00308	13	19	11	15	22	20	15	12	19	14	17	4	20	10	8	18
OTU00309	66	56	73	71	92	70	129	46	92	66	102	56	89	78	70	89
OTU00310	77	101	89	142	146	77	72	84	131	96	129	41	153	109	50	87
OTU00311	11	1	9	1	20	2	5	2	2	0	5	0	22	10	0	0
OTU00312	571	442	402	505	678	357	586	404	597	437	632	415	574	591	365	466
OTU00313	18	5	4	2	1	0	1	0	5	0	12	0	2	0	1	0
OTU00314	24	31	17	30	39	18	36	22	54	36	38	18	31	30	26	44
OTU00315	258	384	257	356	553	208	354	270	552	277	479	214	473	350	271	468
OTU00316	212	36	123	49	552	73	17	11	3	7	124	0	81	202	13	24
OTU00317	5	0	3	0	6	0	1	3	0	0	3	0	0	1	0	0
OTU00318	82	10	60	11	159	13	22	14	2	1	49	2	88	79	5	2
OTU00319	53	48	12	10	0	2	3	18	63	3	48	0	6	2	1	1
OTU00320	69	93	53	74	103	45	87	55	134	57	117	37	110	92	65	107
OTU00321	19	10	37	17	0	0	0	9	41	13	43	0	0	0	0	0
OTU00322	2	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0
OTU00323	209	118	32	18	1	4	10	50	69	6	91	1	8	0	5	0
OTU00324	15	1	11	6	0	0	0	5	8	2	13	0	0	0	0	0
OTU00325	47	9	9	0	46	1	3	0	4	0	15	4	7	6	0	0
OTU00326	6	2	9	3	1	0	0	1	8	2	5	0	0	0	0	0
OTU00327	9	2	6	0	11	4	0	4	3	0	10	0	4	4	0	1
OTU00328	26	9	14	1	16	2	7	0	2	1	5	2	24	20	0	2
OTU00329	38	6	19	8	80	3	2	1	5	5	20	0	5	28	3	7
OTU00330	396	127	79	67	0	0	0	33	177	14	187	0	1	0	0	0
OTU00331	9	4	19	12	0	0	0	4	25	7	41	0	0	0	0	0
OTU00332	53	15	45	14	154	20	8	1	0	0	32	0	23	62	2	5
OTU00333	353	470	299	342	615	237	421	297	594	333	531	269	501	430	354	565
OTU00334	7	5	5	4	4	0	9	1	6	2	5	2	17	3	3	4
OTU00335	4	7	2	6	1	5	5	5	9	4	5	3	12	6	7	13
OTU00336	58	12	40	2	77	15	12	7	13	1	30	4	33	37	2	5
OTU00337	80	108	70	93	144	59	92	58	138	79	134	64	116	101	78	130
OTU00338	182	186	161	238	197	108	234	109	481	155	173	121	106	138	134	177
OTU00339	2	2	1	2	1	0	1	0	3	1	1	2	4	0	0	0
OTU00340	213	90	56	32	0	0	0	30	86	9	104	0	0	0	0	0
OTU00341	15	11	11	0	33	1	7	2	4	0	17	0	16	5	1	0
OTU00342	1	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0
OTU00343	27	26	56	42	48	27	34	19	42	39	58	23	34	34	31	39
OTU00344	276	53	145	51	432	35	13	22	38	19	142	0	62	180	7	19
OTU00345	9	8	4	3	11	4	11	3	13	5	11	5	12	5	3	8
OTU00346	94	91	64	81	167	52	87	104	146	83	140	76	106	118	79	129
OTU00347	85	42	123	24	260	28	9	10	3	7	65	0	54	109	10	13
